test_id,wall_clock,asset_id,x,y,speed,position_accuracy,cumulative_distance_m
TEST-13-GPS-DENIED-DRIFT,1775091006.465,charlie,518.4,-16.2,4.37,0.27,51.9
TEST-13-GPS-DENIED-DRIFT,1775091006.716,alpha,92.5,-35.7,3.31,0.21,39.4
TEST-13-GPS-DENIED-DRIFT,1775091006.716,bravo,282.8,-30.1,3.46,0.22,41.8
TEST-13-GPS-DENIED-DRIFT,1775091006.716,charlie,521.7,-15.8,4.38,0.29,55.2
TEST-13-GPS-DENIED-DRIFT,1775091006.972,alpha,94.8,-34.8,3.33,0.22,41.9
TEST-13-GPS-DENIED-DRIFT,1775091006.972,bravo,285.3,-29.6,3.48,0.23,44.4
TEST-13-GPS-DENIED-DRIFT,1775091006.972,charlie,525.0,-15.6,4.39,0.30,58.5
TEST-13-GPS-DENIED-DRIFT,1775091007.227,alpha,97.2,-34.0,3.35,0.23,44.4
TEST-13-GPS-DENIED-DRIFT,1775091007.227,bravo,287.9,-29.1,3.50,0.24,47.0
TEST-13-GPS-DENIED-DRIFT,1775091007.227,charlie,528.3,-15.3,4.40,0.32,61.8
TEST-13-GPS-DENIED-DRIFT,1775091007.481,alpha,99.5,-33.1,3.37,0.24,46.9
TEST-13-GPS-DENIED-DRIFT,1775091007.481,bravo,290.5,-28.6,3.52,0.25,49.6
TEST-13-GPS-DENIED-DRIFT,1775091007.481,charlie,531.6,-15.1,4.41,0.33,65.1
TEST-13-GPS-DENIED-DRIFT,1775091007.731,alpha,101.9,-32.3,3.39,0.26,49.4
TEST-13-GPS-DENIED-DRIFT,1775091007.731,bravo,293.1,-28.1,3.54,0.27,52.3
TEST-13-GPS-DENIED-DRIFT,1775091007.731,charlie,534.9,-14.9,4.41,0.35,68.4
TEST-13-GPS-DENIED-DRIFT,1775091007.986,alpha,104.3,-31.5,3.41,0.27,52.0
TEST-13-GPS-DENIED-DRIFT,1775091007.986,bravo,295.7,-27.7,3.56,0.28,54.9
TEST-13-GPS-DENIED-DRIFT,1775091007.986,charlie,538.2,-14.7,4.42,0.37,71.7
TEST-13-GPS-DENIED-DRIFT,1775091008.239,alpha,106.8,-30.8,3.42,0.28,54.5
TEST-13-GPS-DENIED-DRIFT,1775091008.239,bravo,298.4,-27.4,3.58,0.29,57.6
TEST-13-GPS-DENIED-DRIFT,1775091008.239,charlie,541.6,-14.6,4.43,0.38,75.1
TEST-13-GPS-DENIED-DRIFT,1775091008.496,alpha,109.2,-30.1,3.44,0.29,57.1
TEST-13-GPS-DENIED-DRIFT,1775091008.496,bravo,301.0,-27.0,3.60,0.31,60.3
TEST-13-GPS-DENIED-DRIFT,1775091008.496,charlie,544.9,-14.4,4.44,0.40,78.4
TEST-13-GPS-DENIED-DRIFT,1775091008.745,alpha,111.8,-29.5,3.46,0.31,59.7
TEST-13-GPS-DENIED-DRIFT,1775091008.745,bravo,303.7,-26.7,3.62,0.32,63.0
TEST-13-GPS-DENIED-DRIFT,1775091008.745,charlie,548.3,-14.3,4.45,0.42,81.8
TEST-13-GPS-DENIED-DRIFT,1775091009.000,alpha,114.3,-28.9,3.48,0.32,62.3
TEST-13-GPS-DENIED-DRIFT,1775091009.000,bravo,306.5,-26.4,3.64,0.34,65.8
TEST-13-GPS-DENIED-DRIFT,1775091009.000,charlie,551.6,-14.2,4.46,0.43,85.1
TEST-13-GPS-DENIED-DRIFT,1775091009.254,alpha,116.8,-28.4,3.50,0.33,64.9
TEST-13-GPS-DENIED-DRIFT,1775091009.254,bravo,309.2,-26.2,3.66,0.35,68.5
TEST-13-GPS-DENIED-DRIFT,1775091009.254,charlie,555.0,-14.2,4.46,0.45,88.5
TEST-13-GPS-DENIED-DRIFT,1775091009.507,alpha,119.4,-28.0,3.52,0.35,67.5
TEST-13-GPS-DENIED-DRIFT,1775091009.507,bravo,311.9,-26.0,3.68,0.36,71.3
TEST-13-GPS-DENIED-DRIFT,1775091009.507,charlie,558.3,-14.1,4.47,0.47,91.8
TEST-13-GPS-DENIED-DRIFT,1775091009.759,alpha,122.0,-27.6,3.54,0.36,70.1
TEST-13-GPS-DENIED-DRIFT,1775091009.759,bravo,314.7,-25.8,3.70,0.38,74.0
TEST-13-GPS-DENIED-DRIFT,1775091009.759,charlie,561.7,-14.1,4.48,0.48,95.2
TEST-13-GPS-DENIED-DRIFT,1775091010.014,alpha,124.6,-27.2,3.56,0.37,72.8
TEST-13-GPS-DENIED-DRIFT,1775091010.014,bravo,317.5,-25.7,3.72,0.39,76.8
TEST-13-GPS-DENIED-DRIFT,1775091010.014,charlie,565.1,-14.0,4.49,0.50,98.6
TEST-13-GPS-DENIED-DRIFT,1775091010.266,alpha,127.3,-26.9,3.59,0.39,75.5
TEST-13-GPS-DENIED-DRIFT,1775091010.266,bravo,320.3,-25.5,3.73,0.40,79.6
TEST-13-GPS-DENIED-DRIFT,1775091010.266,charlie,568.5,-14.0,4.49,0.52,102.0
TEST-13-GPS-DENIED-DRIFT,1775091010.521,alpha,130.0,-26.6,3.61,0.40,78.1
TEST-13-GPS-DENIED-DRIFT,1775091010.521,bravo,323.1,-25.4,3.75,0.42,82.4
TEST-13-GPS-DENIED-DRIFT,1775091010.521,charlie,571.9,-14.0,4.50,0.54,105.4
TEST-13-GPS-DENIED-DRIFT,1775091010.774,alpha,132.6,-26.4,3.63,0.41,80.8
TEST-13-GPS-DENIED-DRIFT,1775091010.774,bravo,325.9,-25.4,3.77,0.43,85.3
TEST-13-GPS-DENIED-DRIFT,1775091010.774,charlie,575.3,-13.9,4.51,0.55,108.8
TEST-13-GPS-DENIED-DRIFT,1775091011.029,alpha,135.4,-26.2,3.65,0.43,83.5
TEST-13-GPS-DENIED-DRIFT,1775091011.029,bravo,328.8,-25.3,3.79,0.45,88.1
TEST-13-GPS-DENIED-DRIFT,1775091011.029,charlie,578.6,-13.9,4.51,0.57,112.1
TEST-13-GPS-DENIED-DRIFT,1775091011.283,alpha,138.1,-26.1,3.67,0.44,86.3
TEST-13-GPS-DENIED-DRIFT,1775091011.283,bravo,331.6,-25.2,3.81,0.46,91.0
TEST-13-GPS-DENIED-DRIFT,1775091011.283,charlie,582.1,-13.9,4.52,0.59,115.6
TEST-13-GPS-DENIED-DRIFT,1775091011.535,alpha,140.8,-25.9,3.68,0.45,89.0
TEST-13-GPS-DENIED-DRIFT,1775091011.535,bravo,334.5,-25.2,3.83,0.48,93.8
TEST-13-GPS-DENIED-DRIFT,1775091011.535,charlie,585.5,-13.9,4.53,0.60,119.0
TEST-13-GPS-DENIED-DRIFT,1775091011.791,alpha,143.6,-25.8,3.70,0.47,91.8
TEST-13-GPS-DENIED-DRIFT,1775091011.791,bravo,337.4,-25.2,3.84,0.49,96.7
TEST-13-GPS-DENIED-DRIFT,1775091011.791,charlie,588.9,-13.8,4.53,0.62,122.4
TEST-13-GPS-DENIED-DRIFT,1775091012.042,alpha,146.3,-25.8,3.72,0.48,94.5
TEST-13-GPS-DENIED-DRIFT,1775091012.042,bravo,340.3,-25.2,3.86,0.50,99.6
TEST-13-GPS-DENIED-DRIFT,1775091012.042,charlie,592.3,-13.8,4.54,0.64,125.8
TEST-13-GPS-DENIED-DRIFT,1775091012.295,alpha,149.1,-25.7,3.74,0.50,97.3
TEST-13-GPS-DENIED-DRIFT,1775091012.295,bravo,343.2,-25.1,3.88,0.52,102.5
TEST-13-GPS-DENIED-DRIFT,1775091012.295,charlie,595.7,-13.8,4.55,0.65,129.2
TEST-13-GPS-DENIED-DRIFT,1775091012.549,alpha,151.9,-25.6,3.76,0.51,100.1
TEST-13-GPS-DENIED-DRIFT,1775091012.549,bravo,346.1,-25.1,3.89,0.53,105.4
TEST-13-GPS-DENIED-DRIFT,1775091012.549,charlie,599.1,-13.7,4.55,0.67,132.6
TEST-13-GPS-DENIED-DRIFT,1775091012.801,alpha,154.7,-25.6,3.78,0.52,102.9
TEST-13-GPS-DENIED-DRIFT,1775091012.801,bravo,349.0,-25.1,3.91,0.55,108.4
TEST-13-GPS-DENIED-DRIFT,1775091012.801,charlie,602.6,-13.7,4.56,0.69,136.1
TEST-13-GPS-DENIED-DRIFT,1775091013.056,alpha,157.6,-25.6,3.80,0.54,105.8
TEST-13-GPS-DENIED-DRIFT,1775091013.056,bravo,352.0,-25.1,3.92,0.56,111.3
TEST-13-GPS-DENIED-DRIFT,1775091013.056,charlie,606.0,-13.7,4.57,0.71,139.5
TEST-13-GPS-DENIED-DRIFT,1775091013.310,alpha,160.4,-25.5,3.81,0.55,108.6
TEST-13-GPS-DENIED-DRIFT,1775091013.310,bravo,354.9,-25.1,3.94,0.58,114.3
TEST-13-GPS-DENIED-DRIFT,1775091013.310,charlie,609.5,-13.6,4.57,0.72,143.0
TEST-13-GPS-DENIED-DRIFT,1775091013.564,alpha,163.3,-25.5,3.83,0.57,111.5
TEST-13-GPS-DENIED-DRIFT,1775091013.564,bravo,357.9,-25.1,3.95,0.59,117.2
TEST-13-GPS-DENIED-DRIFT,1775091013.564,charlie,612.9,-13.6,4.58,0.74,146.4
TEST-13-GPS-DENIED-DRIFT,1775091013.819,alpha,166.1,-25.5,3.85,0.58,114.3
TEST-13-GPS-DENIED-DRIFT,1775091013.819,bravo,360.9,-25.1,3.97,0.61,120.2
TEST-13-GPS-DENIED-DRIFT,1775091013.819,charlie,616.4,-13.5,4.58,0.76,149.9
TEST-13-GPS-DENIED-DRIFT,1775091014.072,alpha,169.0,-25.5,3.86,0.60,117.2
TEST-13-GPS-DENIED-DRIFT,1775091014.072,bravo,363.9,-25.0,3.98,0.62,123.2
TEST-13-GPS-DENIED-DRIFT,1775091014.072,charlie,619.8,-13.4,4.59,0.77,153.3
TEST-13-GPS-DENIED-DRIFT,1775091014.326,alpha,171.9,-25.5,3.88,0.61,120.1
TEST-13-GPS-DENIED-DRIFT,1775091014.326,bravo,366.9,-25.0,4.00,0.64,126.2
TEST-13-GPS-DENIED-DRIFT,1775091014.326,charlie,623.3,-13.3,4.60,0.79,156.8
TEST-13-GPS-DENIED-DRIFT,1775091014.578,alpha,174.8,-25.4,3.90,0.62,123.0
TEST-13-GPS-DENIED-DRIFT,1775091014.578,bravo,369.9,-25.0,4.01,0.65,129.2
TEST-13-GPS-DENIED-DRIFT,1775091014.578,charlie,626.7,-13.3,4.60,0.81,160.2
TEST-13-GPS-DENIED-DRIFT,1775091014.832,alpha,177.7,-25.4,3.91,0.64,125.9
TEST-13-GPS-DENIED-DRIFT,1775091014.832,bravo,372.9,-24.9,4.03,0.67,132.2
TEST-13-GPS-DENIED-DRIFT,1775091014.832,charlie,630.2,-13.2,4.61,0.83,163.7
TEST-13-GPS-DENIED-DRIFT,1775091015.087,alpha,180.6,-25.4,3.93,0.65,128.8
TEST-13-GPS-DENIED-DRIFT,1775091015.087,bravo,375.9,-24.9,4.04,0.68,135.3
TEST-13-GPS-DENIED-DRIFT,1775091015.087,charlie,633.7,-13.1,4.61,0.84,167.2
TEST-13-GPS-DENIED-DRIFT,1775091015.341,alpha,183.6,-25.3,3.95,0.67,131.8
TEST-13-GPS-DENIED-DRIFT,1775091015.341,bravo,379.0,-24.8,4.05,0.70,138.3
TEST-13-GPS-DENIED-DRIFT,1775091015.341,charlie,637.1,-13.0,4.62,0.86,170.6
TEST-13-GPS-DENIED-DRIFT,1775091015.594,alpha,186.5,-25.2,3.96,0.68,134.7
TEST-13-GPS-DENIED-DRIFT,1775091015.594,bravo,382.0,-24.8,4.07,0.71,141.3
TEST-13-GPS-DENIED-DRIFT,1775091015.594,charlie,640.6,-12.9,4.62,0.88,174.1
TEST-13-GPS-DENIED-DRIFT,1775091015.848,alpha,189.5,-25.2,3.98,0.70,137.7
TEST-13-GPS-DENIED-DRIFT,1775091015.848,bravo,385.1,-24.7,4.08,0.73,144.4
TEST-13-GPS-DENIED-DRIFT,1775091015.848,charlie,644.1,-12.8,4.63,0.89,177.6
TEST-13-GPS-DENIED-DRIFT,1775091016.100,alpha,192.4,-25.1,3.99,0.71,140.6
TEST-13-GPS-DENIED-DRIFT,1775091016.100,bravo,388.1,-24.7,4.10,0.74,147.5
TEST-13-GPS-DENIED-DRIFT,1775091016.100,charlie,647.6,-12.7,4.63,0.91,181.1
TEST-13-GPS-DENIED-DRIFT,1775091016.355,alpha,195.4,-25.0,4.01,0.73,143.6
TEST-13-GPS-DENIED-DRIFT,1775091016.355,bravo,391.2,-24.6,4.11,0.76,150.6
TEST-13-GPS-DENIED-DRIFT,1775091016.355,charlie,651.1,-12.6,4.64,0.93,184.6
TEST-13-GPS-DENIED-DRIFT,1775091016.607,alpha,198.4,-24.9,4.02,0.74,146.6
TEST-13-GPS-DENIED-DRIFT,1775091016.607,bravo,394.3,-24.5,4.12,0.77,153.6
TEST-13-GPS-DENIED-DRIFT,1775091016.607,charlie,654.6,-12.5,4.65,0.95,188.1
TEST-13-GPS-DENIED-DRIFT,1775091016.861,alpha,201.4,-24.8,4.04,0.76,149.6
TEST-13-GPS-DENIED-DRIFT,1775091016.861,bravo,397.4,-24.4,4.13,0.79,156.7
TEST-13-GPS-DENIED-DRIFT,1775091016.861,charlie,658.1,-12.4,4.65,0.96,191.6
TEST-13-GPS-DENIED-DRIFT,1775091017.115,alpha,204.4,-24.7,4.05,0.77,152.6
TEST-13-GPS-DENIED-DRIFT,1775091017.115,bravo,400.5,-24.4,4.15,0.80,159.8
TEST-13-GPS-DENIED-DRIFT,1775091017.115,charlie,661.6,-12.3,4.66,0.98,195.1
TEST-13-GPS-DENIED-DRIFT,1775091017.370,alpha,207.4,-24.6,4.06,0.79,155.7
TEST-13-GPS-DENIED-DRIFT,1775091017.370,bravo,403.6,-24.3,4.16,0.82,163.0
TEST-13-GPS-DENIED-DRIFT,1775091017.370,charlie,665.1,-12.2,4.66,1.00,198.6
TEST-13-GPS-DENIED-DRIFT,1775091017.621,alpha,210.5,-24.5,4.08,0.80,158.7
TEST-13-GPS-DENIED-DRIFT,1775091017.621,bravo,406.8,-24.2,4.17,0.84,166.1
TEST-13-GPS-DENIED-DRIFT,1775091017.621,charlie,668.6,-12.1,4.67,1.02,202.1
TEST-13-GPS-DENIED-DRIFT,1775091017.874,alpha,213.5,-24.3,4.09,0.82,161.7
TEST-13-GPS-DENIED-DRIFT,1775091017.874,bravo,409.9,-24.1,4.18,0.85,169.2
TEST-13-GPS-DENIED-DRIFT,1775091017.874,charlie,672.1,-12.0,4.67,1.03,205.6
TEST-13-GPS-DENIED-DRIFT,1775091018.128,alpha,216.6,-24.2,4.10,0.83,164.8
TEST-13-GPS-DENIED-DRIFT,1775091018.128,bravo,413.0,-24.0,4.20,0.87,172.4
TEST-13-GPS-DENIED-DRIFT,1775091018.128,charlie,675.6,-11.9,4.68,1.05,209.1
TEST-13-GPS-DENIED-DRIFT,1775091018.381,alpha,219.6,-24.1,4.12,0.85,167.9
TEST-13-GPS-DENIED-DRIFT,1775091018.381,bravo,416.2,-23.9,4.21,0.88,175.6
TEST-13-GPS-DENIED-DRIFT,1775091018.381,charlie,679.1,-11.8,4.68,1.07,212.7
TEST-13-GPS-DENIED-DRIFT,1775091018.636,alpha,222.7,-23.9,4.13,0.87,170.9
TEST-13-GPS-DENIED-DRIFT,1775091018.636,bravo,419.4,-23.8,4.22,0.90,178.7
TEST-13-GPS-DENIED-DRIFT,1775091018.636,charlie,682.7,-11.6,4.68,1.09,216.2
TEST-13-GPS-DENIED-DRIFT,1775091018.888,alpha,225.8,-23.8,4.14,0.88,174.0
TEST-13-GPS-DENIED-DRIFT,1775091018.888,bravo,422.6,-23.7,4.23,0.91,181.9
TEST-13-GPS-DENIED-DRIFT,1775091018.888,charlie,686.2,-11.5,4.69,1.10,219.7
TEST-13-GPS-DENIED-DRIFT,1775091019.141,alpha,228.9,-23.6,4.16,0.90,177.1
TEST-13-GPS-DENIED-DRIFT,1775091019.141,bravo,425.8,-23.6,4.24,0.93,185.1
TEST-13-GPS-DENIED-DRIFT,1775091019.141,charlie,689.7,-11.4,4.69,1.12,223.2
TEST-13-GPS-DENIED-DRIFT,1775091019.397,alpha,232.0,-23.5,4.17,0.91,180.2
TEST-13-GPS-DENIED-DRIFT,1775091019.397,bravo,429.0,-23.5,4.25,0.95,188.3
TEST-13-GPS-DENIED-DRIFT,1775091019.397,charlie,693.3,-11.3,4.70,1.14,226.8
TEST-13-GPS-DENIED-DRIFT,1775091019.650,alpha,235.1,-23.3,4.18,0.93,183.4
TEST-13-GPS-DENIED-DRIFT,1775091019.650,bravo,432.2,-23.4,4.26,0.96,191.5
TEST-13-GPS-DENIED-DRIFT,1775091019.650,charlie,696.8,-11.2,4.70,1.16,230.3
TEST-13-GPS-DENIED-DRIFT,1775091019.902,alpha,238.2,-23.2,4.19,0.94,186.5
TEST-13-GPS-DENIED-DRIFT,1775091019.902,bravo,435.4,-23.3,4.28,0.98,194.7
TEST-13-GPS-DENIED-DRIFT,1775091019.902,charlie,700.3,-11.1,4.71,1.17,233.9
TEST-13-GPS-DENIED-DRIFT,1775091020.156,alpha,241.3,-23.0,4.20,0.96,189.6
TEST-13-GPS-DENIED-DRIFT,1775091020.156,bravo,438.6,-23.2,4.29,0.99,198.0
TEST-13-GPS-DENIED-DRIFT,1775091020.156,charlie,703.9,-11.0,4.71,1.19,237.4
TEST-13-GPS-DENIED-DRIFT,1775091020.409,alpha,244.5,-22.9,4.22,0.98,192.7
TEST-13-GPS-DENIED-DRIFT,1775091020.409,bravo,441.8,-23.1,4.30,1.01,201.2
TEST-13-GPS-DENIED-DRIFT,1775091020.409,charlie,707.4,-10.9,4.72,1.21,241.0
TEST-13-GPS-DENIED-DRIFT,1775091020.658,alpha,247.6,-22.7,4.23,0.99,195.9
TEST-13-GPS-DENIED-DRIFT,1775091020.658,bravo,445.1,-23.0,4.31,1.03,204.4
TEST-13-GPS-DENIED-DRIFT,1775091020.658,charlie,711.0,-10.8,4.72,1.23,244.5
TEST-13-GPS-DENIED-DRIFT,1775091020.917,alpha,250.8,-22.6,4.24,1.01,199.1
TEST-13-GPS-DENIED-DRIFT,1775091020.917,bravo,448.3,-22.9,4.32,1.04,207.7
TEST-13-GPS-DENIED-DRIFT,1775091020.917,charlie,714.5,-10.7,4.72,1.25,248.1
TEST-13-GPS-DENIED-DRIFT,1775091021.171,alpha,253.9,-22.4,4.25,1.02,202.2
TEST-13-GPS-DENIED-DRIFT,1775091021.171,bravo,451.6,-22.8,4.33,1.06,210.9
TEST-13-GPS-DENIED-DRIFT,1775091021.171,charlie,718.1,-10.6,4.73,1.26,251.6
TEST-13-GPS-DENIED-DRIFT,1775091021.425,alpha,257.1,-22.2,4.26,1.04,205.4
TEST-13-GPS-DENIED-DRIFT,1775091021.425,bravo,454.8,-22.7,4.34,1.07,214.2
TEST-13-GPS-DENIED-DRIFT,1775091021.425,charlie,721.6,-10.5,4.73,1.28,255.2
TEST-13-GPS-DENIED-DRIFT,1775091021.675,alpha,260.3,-22.1,4.27,1.05,208.6
TEST-13-GPS-DENIED-DRIFT,1775091021.675,bravo,458.1,-22.6,4.35,1.09,217.5
TEST-13-GPS-DENIED-DRIFT,1775091021.675,charlie,725.2,-10.4,4.74,1.30,258.7
TEST-13-GPS-DENIED-DRIFT,1775091021.932,alpha,263.5,-21.9,4.28,1.07,211.8
TEST-13-GPS-DENIED-DRIFT,1775091021.932,bravo,461.4,-22.5,4.36,1.11,220.7
TEST-13-GPS-DENIED-DRIFT,1775091021.932,charlie,728.8,-10.3,4.74,1.32,262.3
TEST-13-GPS-DENIED-DRIFT,1775091022.185,alpha,266.7,-21.8,4.29,1.09,215.0
TEST-13-GPS-DENIED-DRIFT,1775091022.185,bravo,464.7,-22.4,4.37,1.12,224.0
TEST-13-GPS-DENIED-DRIFT,1775091022.185,charlie,732.3,-10.2,4.74,1.33,265.9
TEST-13-GPS-DENIED-DRIFT,1775091022.441,alpha,269.9,-21.6,4.30,1.10,218.2
TEST-13-GPS-DENIED-DRIFT,1775091022.441,bravo,468.0,-22.3,4.37,1.14,227.3
TEST-13-GPS-DENIED-DRIFT,1775091022.441,charlie,735.9,-10.1,4.75,1.35,269.4
TEST-13-GPS-DENIED-DRIFT,1775091022.690,alpha,273.1,-21.4,4.31,1.12,221.4
TEST-13-GPS-DENIED-DRIFT,1775091022.690,bravo,471.3,-22.2,4.38,1.16,230.6
TEST-13-GPS-DENIED-DRIFT,1775091022.690,charlie,739.5,-10.0,4.75,1.37,273.0
TEST-13-GPS-DENIED-DRIFT,1775091022.945,alpha,276.3,-21.3,4.32,1.14,224.6
TEST-13-GPS-DENIED-DRIFT,1775091022.945,bravo,474.6,-22.1,4.39,1.17,233.9
TEST-13-GPS-DENIED-DRIFT,1775091022.945,charlie,743.0,-10.0,4.75,1.39,276.6
TEST-13-GPS-DENIED-DRIFT,1775091023.198,alpha,279.6,-21.1,4.33,1.15,227.9
TEST-13-GPS-DENIED-DRIFT,1775091023.198,bravo,477.9,-22.0,4.40,1.19,237.2
TEST-13-GPS-DENIED-DRIFT,1775091023.198,charlie,746.6,-9.9,4.76,1.41,280.1
TEST-13-GPS-DENIED-DRIFT,1775091023.452,alpha,282.8,-21.0,4.34,1.17,231.1
TEST-13-GPS-DENIED-DRIFT,1775091023.452,bravo,481.2,-22.0,4.41,1.21,240.6
TEST-13-GPS-DENIED-DRIFT,1775091023.452,charlie,750.2,-9.8,4.76,1.42,283.7
TEST-13-GPS-DENIED-DRIFT,1775091023.704,alpha,286.0,-20.8,4.35,1.18,234.3
TEST-13-GPS-DENIED-DRIFT,1775091023.704,bravo,484.5,-21.9,4.42,1.22,243.9
TEST-13-GPS-DENIED-DRIFT,1775091023.704,charlie,753.8,-9.7,4.76,1.44,287.3
TEST-13-GPS-DENIED-DRIFT,1775091023.959,alpha,289.3,-20.6,4.36,1.20,237.6
TEST-13-GPS-DENIED-DRIFT,1775091023.959,bravo,487.8,-21.8,4.43,1.24,247.2
TEST-13-GPS-DENIED-DRIFT,1775091023.959,charlie,757.3,-9.6,4.77,1.46,290.9
TEST-13-GPS-DENIED-DRIFT,1775091024.214,alpha,292.6,-20.5,4.37,1.22,240.9
TEST-13-GPS-DENIED-DRIFT,1775091024.214,bravo,491.2,-21.7,4.44,1.26,250.6
TEST-13-GPS-DENIED-DRIFT,1775091024.214,charlie,760.9,-9.5,4.77,1.48,294.5
TEST-13-GPS-DENIED-DRIFT,1775091024.469,alpha,295.8,-20.3,4.38,1.23,244.2
